,ground_J=0,-J_term,M^2,N,J,Delta,ground,index
0,-2.000000000000004,0.0,0.012345679012345678,9.0,0.0,0.0,-2.000000000000004,011001011
512,-2.0,-0.18367346938775508,1.0,9.0,0.020408163265306117,0.0,-2.1836734693877546,111111111
1024,-2.0000000000000004,-0.36734693877551017,1.0,9.0,0.040816326530612235,0.0,-2.3673469387755106,111111111
1536,-2.0,-0.5510204081632653,1.0,9.0,0.061224489795918366,0.0,-2.5510204081632653,000000000
2048,-2.0,-0.7346938775510203,1.0,9.0,0.08163265306122447,0.0,-2.7346938775510203,111111111
2560,-2.0000000000000013,-0.9183673469387754,1.0,9.0,0.1020408163265306,0.0,-2.9183673469387768,111111111
3072,-2.0000000000000004,-1.1020408163265305,1.0,9.0,0.12244897959183673,0.0,-3.1020408163265314,111111111
3584,-2.0,-1.2857142857142856,1.0,9.0,0.14285714285714285,0.0,-3.2857142857142856,111111111
4096,-2.0000000000000018,-1.469387755102041,1.0,9.0,0.16326530612244894,0.0,-3.4693877551020424,000000000
4608,-2.000000000000001,-1.6530612244897958,1.0,9.0,0.18367346938775508,0.0,-3.6530612244897966,000000000
5120,-2.000000000000002,-1.8367346938775508,1.0,9.0,0.2040816326530612,0.0,-3.8367346938775535,000000000
5632,-2.0000000000000004,-2.020408163265306,1.0,9.0,0.22448979591836726,0.0,-4.020408163265306,111111111
6144,-2.000000000000001,-2.204081632653061,1.0,9.0,0.24489795918367346,0.0,-4.204081632653062,111111111
6656,-2.0000000000000004,-2.387755102040816,1.0,9.0,0.26530612244897955,0.0,-4.387755102040817,111111111
7168,-2.0000000000000004,-2.5714285714285707,1.0,9.0,0.2857142857142857,0.0,-4.571428571428571,111111111
7680,-2.0,-2.7551020408163263,1.0,9.0,0.3061224489795918,0.0,-4.755102040816326,111111111
8192,-2.0000000000000004,-2.9387755102040813,1.0,9.0,0.32653061224489793,0.0,-4.938775510204081,111111111
8704,-2.0,-3.122448979591837,1.0,9.0,0.3469387755102041,0.0,-5.122448979591837,111111111
9216,-2.0000000000000004,-3.3061224489795915,1.0,9.0,0.36734693877551017,0.0,-5.306122448979592,111111111
9728,-2.0,-3.4897959183673466,1.0,9.0,0.3877551020408163,0.0,-5.489795918367347,111111111
10240,-2.0000000000000013,-3.6734693877551017,1.0,9.0,0.4081632653061224,0.0,-5.673469387755104,111111111
10752,-2.0,-3.8571428571428568,1.0,9.0,0.42857142857142855,0.0,-5.857142857142858,111111111
11264,-2.0,-4.040816326530612,1.0,9.0,0.4489795918367345,0.0,-6.040816326530613,111111111
11776,-2.0000000000000004,-4.224489795918367,1.0,9.0,0.4693877551020408,0.0,-6.224489795918367,111111111
12288,-2.0000000000000004,-4.408163265306122,1.0,9.0,0.4897959183673469,0.0,-6.408163265306122,111111111
