,ground_J=0,-J_term,M^2,N,J,Delta,Ms,ground,index
0,-2.0000000000000027,0.0,0.020408163265306117,7.0,0.0,0.0,0.020408163265306117,-2.0000000000000027,0110001
320256,-2.000000000000001,-0.16326530612244894,1.0,8.0,0.020408163265306117,0.0,0.0,-2.16326530612245,00000000
320512,-2.0,-0.32653061224489793,1.0,8.0,0.040816326530612235,0.0,0.0,-2.326530612244898,00000000
320768,-2.0000000000000004,-0.4897959183673469,1.0,8.0,0.061224489795918366,0.0,0.0,-2.4897959183673475,11111111
321024,-2.000000000000001,-0.6530612244897959,1.0,8.0,0.08163265306122447,0.0,0.0,-2.6530612244897966,00000000
321280,-2.0000000000000004,-0.8163265306122448,1.0,8.0,0.1020408163265306,0.0,0.0,-2.8163265306122454,11111111
321536,-2.0000000000000004,-0.979591836734694,1.0,8.0,0.12244897959183673,0.0,0.0,-2.9795918367346936,11111111
321792,-2.0000000000000004,-1.1428571428571428,1.0,8.0,0.14285714285714285,0.0,0.0,-3.1428571428571432,11111111
322048,-2.000000000000001,-1.3061224489795915,1.0,8.0,0.16326530612244894,0.0,0.0,-3.3061224489795924,00000000
322304,-2.000000000000001,-1.469387755102041,1.0,8.0,0.18367346938775508,0.0,0.0,-3.4693877551020416,11111111
322560,-2.0,-1.6326530612244896,1.0,8.0,0.2040816326530612,0.0,0.0,-3.6326530612244903,00000000
322816,-2.000000000000001,-1.7959183673469383,1.0,8.0,0.22448979591836726,0.0,0.0,-3.795918367346939,00000000
323072,-2.0000000000000013,-1.959183673469388,1.0,8.0,0.24489795918367346,0.0,0.0,-3.9591836734693886,00000000
323328,-2.0000000000000018,-2.1224489795918364,1.0,8.0,0.26530612244897955,0.0,0.0,-4.122448979591838,11111111
323584,-2.0000000000000004,-2.2857142857142856,1.0,8.0,0.2857142857142857,0.0,0.0,-4.285714285714287,11111111
323840,-2.000000000000001,-2.4489795918367343,1.0,8.0,0.3061224489795918,0.0,0.0,-4.4489795918367365,00000000
324096,-2.000000000000001,-2.6122448979591835,1.0,8.0,0.32653061224489793,0.0,0.0,-4.612244897959185,11111111
324352,-2.000000000000001,-2.7755102040816326,1.0,8.0,0.3469387755102041,0.0,0.0,-4.775510204081634,00000000
324608,-2.0000000000000013,-2.9387755102040813,1.0,8.0,0.36734693877551017,0.0,0.0,-4.938775510204083,11111111
324864,-2.0,-3.1020408163265305,1.0,8.0,0.3877551020408163,0.0,0.0,-5.1020408163265305,11111111
325120,-2.0,-3.2653061224489783,1.0,8.0,0.4081632653061224,0.0,0.0,-5.2653061224489806,11111111
325376,-2.0000000000000004,-3.4285714285714284,1.0,8.0,0.42857142857142855,0.0,0.0,-5.428571428571429,11111111
325632,-2.000000000000001,-3.591836734693877,1.0,8.0,0.4489795918367345,0.0,0.0,-5.591836734693878,11111111
325888,-2.0000000000000018,-3.7551020408163263,1.0,8.0,0.4693877551020408,0.0,0.0,-5.755102040816327,11111111
326144,-2.0000000000000004,-3.918367346938776,1.0,8.0,0.4897959183673469,0.0,0.0,-5.918367346938775,00000000
326400,-2.0000000000000018,-4.081632653061225,1.0,8.0,0.5102040816326531,0.0,0.0,-6.081632653061226,00000000
326656,-2.0,-4.244897959183673,1.0,8.0,0.5306122448979591,0.0,0.0,-6.244897959183673,11111111
326912,-2.0000000000000018,-4.408163265306122,1.0,8.0,0.5510204081632653,0.0,0.0,-6.408163265306124,00000000
327168,-2.000000000000001,-4.571428571428571,1.0,8.0,0.5714285714285714,0.0,0.0,-6.571428571428572,00000000
327424,-2.000000000000001,-4.7346938775510194,1.0,8.0,0.5918367346938775,0.0,0.0,-6.734693877551021,11111111
