ground_J=0,-J_term,M^2,N,J,Delta,ground,index
-2.0000000000000044,-0.0,0.027777777777777776,12.0,0.0,0.0,-2.0000000000000044,110010001100
-2.0000000000000013,-0.24489795918367346,1.0,12.0,0.020408163265306117,0.0,-2.2448979591836737,111111111111
-2.0,-0.4897959183673469,1.0,12.0,0.040816326530612235,0.0,-2.4897959183673466,111111111111
-2.0,-0.7346938775510203,1.0,12.0,0.061224489795918366,0.0,-2.7346938775510203,111111111111
-2.0,-0.9795918367346941,1.0,12.0,0.08163265306122447,0.0,-2.9795918367346936,111111111111
-2.0000000000000004,-1.2244897959183672,1.0,12.0,0.1020408163265306,0.0,-3.2244897959183683,111111111111
-2.0000000000000018,-1.4693877551020411,1.0,12.0,0.12244897959183673,0.0,-3.4693877551020424,111111111111
-2.0,-1.7142857142857142,1.0,12.0,0.14285714285714285,0.0,-3.7142857142857135,111111111111
-2.0,-1.9591836734693882,1.0,12.0,0.16326530612244894,0.0,-3.9591836734693877,111111111111
-2.0,-2.204081632653061,1.0,12.0,0.18367346938775508,0.0,-4.204081632653061,111111111111
-2.0,-2.4489795918367343,1.0,12.0,0.2040816326530612,0.0,-4.448979591836733,111111111111
-2.000000000000003,-2.6938775510204085,1.0,12.0,0.22448979591836726,0.0,-4.69387755102041,111111111111
-2.0,-2.9387755102040813,1.0,12.0,0.24489795918367346,0.0,-4.938775510204081,111111111111
-2.000000000000001,-3.183673469387754,1.0,12.0,0.26530612244897955,0.0,-5.183673469387756,111111111111
-2.0000000000000004,-3.4285714285714284,1.0,12.0,0.2857142857142857,0.0,-5.428571428571429,111111111111
-2.0,-3.6734693877551017,1.0,12.0,0.3061224489795918,0.0,-5.673469387755104,111111111111
-2.000000000000001,-3.9183673469387763,1.0,12.0,0.32653061224489793,0.0,-5.918367346938775,000000000000
-2.0000000000000018,-4.163265306122448,1.0,12.0,0.3469387755102041,0.0,-6.163265306122451,000000000000
-2.000000000000001,-4.408163265306122,1.0,12.0,0.36734693877551017,0.0,-6.408163265306122,111111111111
-2.0000000000000004,-4.653061224489796,1.0,12.0,0.3877551020408163,0.0,-6.6530612244897975,000000000000
-2.0,-4.897959183673469,1.0,12.0,0.4081632653061224,0.0,-6.897959183673469,111111111111
-2.0,-5.1428571428571415,1.0,12.0,0.42857142857142855,0.0,-7.142857142857142,111111111111
-2.0000000000000004,-5.387755102040815,1.0,12.0,0.4489795918367345,0.0,-7.387755102040815,111111111111
-2.000000000000001,-5.632653061224492,1.0,12.0,0.4693877551020408,0.0,-7.632653061224492,000000000000
-2.000000000000003,-5.877551020408162,1.0,12.0,0.4897959183673469,0.0,-7.877551020408165,000000000000
-2.0,-6.122448979591838,1.0,12.0,0.5102040816326531,0.0,-8.122448979591837,111111111111
-2.000000000000001,-6.367346938775508,1.0,12.0,0.5306122448979591,0.0,-8.36734693877551,111111111111
-2.000000000000003,-6.612244897959182,1.0,12.0,0.5510204081632653,0.0,-8.612244897959187,111111111111
-2.000000000000001,-6.857142857142858,1.0,12.0,0.5714285714285714,0.0,-8.857142857142858,111111111111
-2.000000000000001,-7.1020408163265305,1.0,12.0,0.5918367346938775,0.0,-9.102040816326534,000000000000
-2.000000000000003,-7.346938775510202,1.0,12.0,0.6122448979591836,0.0,-9.346938775510207,111111111111
-2.0,-7.591836734693876,1.0,12.0,0.6326530612244897,0.0,-9.591836734693876,111111111111
-2.0000000000000004,-7.83673469387755,1.0,12.0,0.6530612244897959,0.0,-9.83673469387755,111111111111
-2.0000000000000018,-8.081632653061224,1.0,12.0,0.6734693877551021,0.0,-10.081632653061224,111111111111
-2.0000000000000013,-8.326530612244897,1.0,12.0,0.6938775510204082,0.0,-10.3265306122449,111111111111
-2.0000000000000013,-8.571428571428571,1.0,12.0,0.7142857142857142,0.0,-10.571428571428571,111111111111
-2.0,-8.816326530612244,1.0,12.0,0.7346938775510203,0.0,-10.816326530612244,111111111111
-2.0,-9.06122448979592,1.0,12.0,0.7551020408163265,0.0,-11.06122448979592,111111111111
-2.000000000000001,-9.306122448979592,1.0,12.0,0.7755102040816326,0.0,-11.306122448979592,111111111111
-2.0000000000000004,-9.551020408163264,1.0,12.0,0.7959183673469387,0.0,-11.551020408163266,000000000000
-2.0000000000000004,-9.795918367346935,1.0,12.0,0.8163265306122448,0.0,-11.795918367346935,111111111111
-2.0,-10.040816326530612,1.0,12.0,0.836734693877551,0.0,-12.040816326530615,111111111111
