ground_J=0,-J_term,M^2,N,J,Delta,ground,index
-2.000000000000004,0.0,0.008264462809917356,11.0,0.0,0.0,-2.000000000000004,00101101001
-2.0000000000000018,-0.22448979591836726,1.0,11.0,0.020408163265306117,0.0,-2.224489795918369,00000000000
-2.0000000000000004,-0.4489795918367345,1.0,11.0,0.040816326530612235,0.0,-2.448979591836735,00000000000
-2.0,-0.6734693877551021,1.0,11.0,0.061224489795918366,0.0,-2.6734693877551017,00000000000
-2.0000000000000004,-0.8979591836734693,1.0,11.0,0.08163265306122447,0.0,-2.8979591836734686,11111111111
-2.0000000000000018,-1.1224489795918366,1.0,11.0,0.1020408163265306,0.0,-3.122448979591838,00000000000
-2.000000000000001,-1.3469387755102042,1.0,11.0,0.12244897959183673,0.0,-3.346938775510205,00000000000
-2.0,-1.5714285714285714,1.0,11.0,0.14285714285714285,0.0,-3.571428571428571,00000000000
-2.000000000000001,-1.7959183673469383,1.0,11.0,0.16326530612244894,0.0,-3.795918367346939,00000000000
-2.0,-2.020408163265306,1.0,11.0,0.18367346938775508,0.0,-4.020408163265306,11111111111
-2.000000000000001,-2.2448979591836733,1.0,11.0,0.2040816326530612,0.0,-4.244897959183675,00000000000
-2.0000000000000004,-2.4693877551020407,1.0,11.0,0.22448979591836726,0.0,-4.469387755102041,11111111111
-2.0,-2.6938775510204085,1.0,11.0,0.24489795918367346,0.0,-4.6938775510204085,00000000000
-2.0,-2.918367346938775,1.0,11.0,0.26530612244897955,0.0,-4.918367346938775,11111111111
-2.0000000000000004,-3.1428571428571432,1.0,11.0,0.2857142857142857,0.0,-5.142857142857143,11111111111
-2.0,-3.3673469387755097,1.0,11.0,0.3061224489795918,0.0,-5.367346938775509,11111111111
-2.0000000000000004,-3.591836734693877,1.0,11.0,0.32653061224489793,0.0,-5.591836734693878,11111111111
-2.000000000000001,-3.816326530612245,1.0,11.0,0.3469387755102041,0.0,-5.816326530612246,00000000000
-2.0,-4.040816326530612,1.0,11.0,0.36734693877551017,0.0,-6.040816326530613,11111111111
-2.0,-4.2653061224489806,1.0,11.0,0.3877551020408163,0.0,-6.2653061224489806,11111111111
-2.0000000000000004,-4.489795918367347,1.0,11.0,0.4081632653061224,0.0,-6.4897959183673475,00000000000
-2.0000000000000004,-4.714285714285714,1.0,11.0,0.42857142857142855,0.0,-6.7142857142857135,11111111111
-2.0,-4.938775510204081,1.0,11.0,0.4489795918367345,0.0,-6.938775510204081,11111111111
-2.0000000000000004,-5.163265306122448,1.0,11.0,0.4693877551020408,0.0,-7.16326530612245,11111111111
-2.0,-5.387755102040817,1.0,11.0,0.4897959183673469,0.0,-7.387755102040818,11111111111
-2.0,-5.612244897959183,1.0,11.0,0.5102040816326531,0.0,-7.612244897959182,11111111111
-2.0000000000000004,-5.83673469387755,1.0,11.0,0.5306122448979591,0.0,-7.83673469387755,11111111111
-2.0,-6.061224489795919,1.0,11.0,0.5510204081632653,0.0,-8.061224489795919,11111111111
-2.0000000000000027,-6.285714285714287,1.0,11.0,0.5714285714285714,0.0,-8.285714285714286,11111111111
-2.000000000000001,-6.5102040816326525,1.0,11.0,0.5918367346938775,0.0,-8.510204081632654,11111111111
-2.0000000000000013,-6.7346938775510194,1.0,11.0,0.6122448979591836,0.0,-8.734693877551019,11111111111
-2.0,-6.959183673469387,1.0,11.0,0.6326530612244897,0.0,-8.959183673469388,11111111111
-2.0,-7.183673469387754,1.0,11.0,0.6530612244897959,0.0,-9.183673469387754,11111111111
-2.0,-7.408163265306122,1.0,11.0,0.6734693877551021,0.0,-9.408163265306124,00000000000
-2.000000000000001,-7.632653061224492,1.0,11.0,0.6938775510204082,0.0,-9.632653061224492,11111111111
-2.0000000000000004,-7.857142857142856,1.0,11.0,0.7142857142857142,0.0,-9.857142857142854,11111111111
-2.000000000000002,-8.081632653061224,1.0,11.0,0.7346938775510203,0.0,-10.081632653061224,11111111111
-2.000000000000001,-8.306122448979592,1.0,11.0,0.7551020408163265,0.0,-10.306122448979592,11111111111
-2.0,-8.530612244897961,1.0,11.0,0.7755102040816326,0.0,-10.530612244897961,00000000000
-2.0,-8.755102040816325,1.0,11.0,0.7959183673469387,0.0,-10.755102040816324,11111111111
-1.9999999999999991,-8.979591836734693,1.0,11.0,0.8163265306122448,0.0,-10.979591836734693,11111111111
-2.0,-9.20408163265306,1.0,11.0,0.836734693877551,0.0,-11.20408163265306,11111111111
-2.0,-9.428571428571429,1.0,11.0,0.8571428571428571,0.0,-11.428571428571427,11111111111
-2.0000000000000004,-9.653061224489797,1.0,11.0,0.8775510204081632,0.0,-11.653061224489793,00000000000
-2.0000000000000013,-9.877551020408164,1.0,11.0,0.8979591836734693,0.0,-11.877551020408163,11111111111
-2.0,-10.102040816326527,1.0,11.0,0.9183673469387754,0.0,-12.102040816326527,00000000000
-2.0,-10.326530612244897,1.0,11.0,0.9387755102040816,0.0,-12.326530612244895,11111111111
-2.0,-10.551020408163264,1.0,11.0,0.9591836734693876,0.0,-12.551020408163266,11111111111
-2.0000000000000013,-10.775510204081634,1.0,11.0,0.9795918367346941,0.0,-12.775510204081636,11111111111
-2.0,-11.0,1.0,11.0,1.0,0.0,-13.0,11111111111
