Delta,J,M^2,Ms^2,N,O^2,delta_E,energy0,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,h,identity
0.0,0.0,0.12518637952811906,0.12484964300950796,8,2.004325749378436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12518430302867087
0.0,0.041666666666666664,0.9999999999999993,1.634062237144609e-32,8,1.8304611024772333,-6.106226635438361e-16,-0.3333333333333328,-0.3333333333333334,-0.3333333333333334,-0.3333333333333338,-0.333333333333334,-0.16666666666666707,-0.3333333333333334,-0.16666666666666707,-0.33333333333333304,-0.3333333333333333,0.0,0.9995627786125182
0.0,0.08333333333333333,1.0000000000000027,2.018894665276578e-32,8,1.9806503664039865,6.661338147750939e-16,-0.6666666666666685,-0.6666666666666679,-0.6666666666666694,-0.6666666666666675,-0.6666666666666692,-0.6666666666666698,-0.6666666666666677,-0.6666666666666671,-0.666666666666667,-0.666666666666667,0.0,0.998943731772871
0.0,0.125,1.0000000000000013,7.139948395189817e-33,8,2.198962790530313,4.440892098500626e-16,-1.0000000000000016,-1.000000000000001,-1.0000000000000038,-1.0000000000000024,-1.0000000000000027,-1.0000000000000027,-0.9999999999999994,-1.0000000000000022,-1.0,-1.0000000000000018,0.0,0.9999405929540881
0.0,0.16666666666666666,0.9999999999999994,8.91857413102549e-32,8,1.8217917755224842,-1.5543122344752192e-15,-1.333333333333334,-1.3333333333333355,-1.3333333333333348,-1.3333333333333364,-0.6666666666666685,-1.3333333333333344,-1.3333333333333348,-1.333333333333335,-1.3333333333333355,-1.3333333333333328,0.0,0.9999520816429447
0.0,0.20833333333333331,0.9999999999999998,5.230333334976123e-33,8,2.0998665204497504,2.220446049250313e-16,-1.6666666666666667,-1.6666666666666665,-1.6666666666666676,-1.6666666666666683,-1.6666666666666656,-0.8333333333333337,-1.6666666666666667,-0.8333333333333336,-1.6666666666666672,-1.6666666666666683,0.0,0.9997398006344638
0.0,0.25,0.9999999999999999,4.440519487844753e-33,8,1.9849137383354005,-1.7763568394002505e-15,-2.0,-2.0000000000000018,-1.0000000000000016,-1.9999999999999987,-2.000000000000007,-2.0000000000000027,-2.0000000000000036,-1.0000000000000013,-2.0000000000000018,-2.000000000000001,0.0,0.9992918243897322
0.0,0.3333333333333333,1.0000000000000009,9.519545282844884e-33,8,2.1098755195354517,6.217248937900877e-15,-2.6666666666666714,-2.666666666666665,-2.6666666666666696,-2.6666666666666647,-2.6666666666666687,-2.6666666666666665,-1.333333333333337,-2.6666666666666723,-2.666666666666669,-2.666666666666668,0.0,0.9992745606688264
0.0,0.375,1.0000000000000007,2.0158774719343816e-32,8,2.1347468993392704,-3.9968028886505635e-15,-3.0,-3.000000000000004,-3.000000000000004,-3.0000000000000004,-1.5000000000000049,-1.5000000000000024,-1.5000000000000007,-3.0000000000000004,-3.000000000000004,-3.0000000000000004,0.0,0.9997045830226737
0.0,0.41666666666666663,1.0000000000000027,4.438225704664706e-33,8,1.7939854435750742,4.440892098500626e-16,-3.3333333333333366,-3.333333333333336,-3.3333333333333375,-3.3333333333333415,-3.333333333333342,-3.3333333333333446,-3.3333333333333406,-3.333333333333341,-3.3333333333333353,-3.3333333333333353,0.0,0.9999903857136988
0.0,0.4583333333333333,0.9999999999999992,1.1695243866304215e-32,8,2.0269669957585266,-1.1102230246251565e-14,-3.6666666666666643,-3.6666666666666754,-3.6666666666666705,-3.6666666666666767,-3.666666666666666,-3.666666666666676,-3.6666666666666767,-3.6666666666666745,-3.666666666666666,-3.666666666666667,0.0,0.9983362938235425
0.0,0.5,1.000000000000002,3.8351690601856924e-32,8,2.111693965822059,-4.440892098500626e-15,-4.000000000000009,-4.000000000000013,-4.000000000000007,-4.000000000000016,-4.000000000000014,-4.00000000000002,-4.000000000000011,-4.000000000000015,-4.000000000000002,-4.0,0.0,0.997873183516537
0.0,0.5416666666666666,1.0000000000000018,2.927450323171647e-32,8,1.9083948416604966,3.552713678800501e-15,-4.333333333333339,-4.333333333333336,-4.333333333333349,-4.333333333333358,-4.33333333333335,-4.3333333333333535,-4.333333333333346,-4.3333333333333455,-4.333333333333337,-4.333333333333341,0.0,0.996911781291121
0.0,0.5833333333333333,1.0000000000000013,2.03431515949771e-32,8,2.292642846138108,2.3333333333333384,-4.6666666666666705,-2.333333333333332,-4.666666666666673,-4.666666666666673,-2.333333333333342,-4.666666666666679,-2.3333333333333437,-4.666666666666674,-2.3333333333333344,-4.666666666666668,0.0,0.9990303961735126
0.0,0.625,0.999999999999999,4.9275329798510994e-32,8,1.986645145192688,2.4999999999999902,-5.0000000000000036,-2.5000000000000133,-5.000000000000003,-2.5000000000000124,-5.000000000000013,-5.000000000000041,-2.5000000000000075,-5.000000000000009,-2.500000000000004,-5.000000000000008,0.0,0.9998843455222098
0.0,0.6666666666666666,0.9999999999999993,3.5609668311325755e-32,8,1.9637430139279135,-2.6645352591003757e-15,-5.333333333333335,-5.3333333333333375,-5.333333333333336,-5.33333333333332,-2.6666666666666705,-5.3333333333333375,-2.6666666666666727,-5.333333333333343,-5.333333333333343,-5.33333333333333,0.0,0.9999999993426885
0.0,0.7083333333333333,1.0000000000000009,1.9649870474062387e-32,8,2.1386153314544463,-1.2434497875801753e-14,-5.666666666666676,-5.666666666666688,-5.666666666666681,-5.666666666666691,-5.666666666666693,-5.666666666666682,-5.6666666666666865,-5.666666666666673,-5.666666666666673,-5.666666666666663,0.0,0.999997853497023
0.0,0.75,1.0000000000000007,6.990233265851687e-33,8,2.0949992699644966,-1.3322676295501878e-14,-6.0000000000000036,-6.000000000000017,-6.000000000000019,-6.000000000000035,-6.000000000000035,-6.000000000000033,-6.000000000000033,-6.000000000000029,-6.0000000000000115,-6.0,0.0,0.9999602172072422
0.0,0.7916666666666666,0.9999999999999993,5.793304689384869e-32,8,2.0680768359701167,-1.1546319456101628e-14,-6.333333333333336,-6.333333333333347,-6.333333333333347,-6.333333333333367,-6.333333333333366,-6.333333333333366,-6.3333333333333375,-6.333333333333351,-6.333333333333336,-6.333333333333334,0.0,0.9995848525495643
0.0,0.8333333333333333,1.0000000000000027,1.9513442531196136e-32,8,1.9671514056763404,-5.329070518200751e-15,-6.666666666666682,-6.666666666666687,-6.666666666666683,-6.666666666666703,-6.666666666666684,-6.666666666666703,-6.6666666666666865,-6.666666666666693,-6.666666666666668,-6.666666666666665,0.0,0.9999671800948104
0.0,0.875,1.0000000000000022,1.816447694138036e-32,8,1.8842940122306158,1.5987211554602254e-14,-7.000000000000017,-7.000000000000001,-7.0000000000000275,-7.000000000000019,-7.000000000000019,-7.0000000000000195,-7.00000000000003,-7.000000000000025,-7.0000000000000036,-7.0,0.0,0.9995771271074216
0.0,0.9166666666666666,1.000000000000001,6.000687786423179e-32,8,1.8747002241941888,8.881784197001252e-16,-7.333333333333336,-7.333333333333335,-3.6666666666666696,-7.33333333333334,-3.666666666666671,-3.6666666666666754,-7.33333333333334,-7.333333333333339,-7.333333333333345,-7.333333333333343,0.0,0.9975316970394168
0.0,0.9583333333333333,0.9999999999999997,4.23168224952602e-32,8,2.0278826446987726,-8.881784197001252e-16,-7.666666666666658,-7.666666666666659,-7.666666666666685,-7.666666666666693,-7.666666666666694,-7.666666666666679,-7.666666666666681,-7.666666666666672,-7.666666666666677,-7.666666666666659,0.0,0.9999076438184024
0.0,1.0,1.0000000000000022,2.8329264662748096e-32,8,2.0040582071914805,-5.329070518200751e-15,-8.000000000000021,-8.000000000000027,-8.00000000000001,-4.000000000000029,-8.000000000000071,-8.000000000000034,-8.000000000000046,-4.00000000000004,-8.000000000000012,-8.0,0.0,0.9950785176309331
0.08333333333333333,0.0,0.12883670450717402,0.13823903985415548,8,2.8797520477197227,-8.659739592076221e-15,-0.43552098829213093,-0.4355209882921396,-0.43552098829214003,-0.43552098829213365,-0.43552098829213454,-0.43552098829213387,-0.4355209882921323,-0.4355209882921334,-0.4355209882921322,-0.4355209882921289,0.0,0.12813373460946828
0.08333333333333333,0.041666666666666664,1.0000000000000049,1.259754321644729e-31,8,7.828427124746229,-1.3322676295501878e-15,-0.7357022603955173,-0.7357022603955187,-0.7357022603955273,-0.7357022603955365,-0.6178511301977767,-0.7357022603955321,-0.7357022603955281,-0.7357022603955268,-0.7357022603955223,-0.6178511301977777,0.0,0.9976351323009904
0.08333333333333333,0.08333333333333333,1.0000000000000064,5.48995642175756e-32,8,7.828427124746241,-4.884981308350689e-15,-1.0690355937288545,-1.0690355937288594,-1.0690355937288778,-0.9511844635311156,-1.0690355937288685,-0.9511844635311161,-1.069035593728863,-1.069035593728864,-1.0690355937288598,-1.0690355937288563,0.0,0.9558749452048297
0.08333333333333333,0.125,1.000000000000009,1.0111901879658899e-31,8,7.828427124746263,-1.199040866595169e-14,-1.402368927062194,-1.402368927062206,-1.2845177968644643,-1.4023689270622188,-1.2845177968644648,-1.40236892706221,-1.2845177968644428,-1.4023689270621964,-1.4023689270621944,-1.4023689270621853,0.0,0.7318924164094491
0.08333333333333333,0.16666666666666666,1.00000000000001,5.039047961337478e-32,8,7.828427124746268,-2.6423307986078726e-14,-1.735702260395531,-1.7357022603955574,-1.735702260395572,-1.6178511301978136,-1.7357022603955625,-1.617851130197822,-1.735702260395556,-1.7357022603955399,-1.7357022603955359,-1.735702260395533,0.0,0.7988709211386449
0.08333333333333333,0.20833333333333331,1.0000000000000107,6.282914284740014e-32,8,7.8284271247462724,-4.39648317751562e-14,-2.0690355937288682,-2.069035593728912,-2.069035593728934,-1.9511844635311761,-2.0690355937289358,-1.951184463531189,-2.0690355937289016,-2.069035593728913,-2.069035593728883,-2.0690355937288665,0.0,0.9375696252157515
0.08333333333333333,0.25,1.0000000000000133,6.744928485756269e-32,8,7.828427124746296,-6.039613253960852e-14,-2.402368927062214,-2.4023689270622746,-2.4023689270622692,-2.284517796864528,-2.4023689270622626,-2.2845177968645256,-2.4023689270622324,-2.402368927062221,-2.4023689270622093,-2.4023689270621986,0.0,0.9563180685242764
0.08333333333333333,0.29166666666666663,1.0000000000000129,5.296537684160257e-32,8,7.828427124746291,-6.128431095930864e-14,-2.735702260395551,-2.7357022603956125,-2.617851130197862,-2.7357022603956334,-2.6178511301979315,-2.735702260395582,-2.6178511301978626,-2.735702260395563,-2.7357022603955414,-2.7357022603955374,0.0,0.977689222825911
0.08333333333333333,0.3333333333333333,1.0000000000000118,4.3465235408271556e-32,8,7.82842712474628,-6.483702463810914e-14,-3.069035593728878,-3.069035593728943,-2.9511844635312183,-3.0690355937289695,-2.951184463531248,-3.0690355937289437,-2.951184463531189,-3.069035593728914,-3.0690355937288913,-3.0690355937288585,0.0,0.5195677307794216
0.08333333333333333,0.375,1.0000000000000155,7.361008947245367e-32,8,7.8284271247463115,-8.171241461241152e-14,-3.402368927062237,-3.4023689270623185,-3.284517796864596,-3.402368927062327,-3.2845177968645918,-3.402368927062321,-3.2845177968645354,-3.402368927062262,-3.4023689270622226,-3.402368927062228,0.0,0.8830311436459893
0.08333333333333333,0.41666666666666663,1.0000000000000107,4.989955514885246e-32,8,7.828427124746272,-1.3988810110276972e-13,-3.7357022603955627,-3.7357022603957026,-3.617851130197934,-3.7357022603957124,-3.617851130197969,-3.73570226039565,-3.617851130197926,-3.735702260395588,-3.735702260395582,-3.7357022603955383,0.0,0.5141595846239881
0.08333333333333333,0.4583333333333333,1.0000000000000182,5.419209518179926e-32,8,7.828427124746333,-4.085620730620576e-14,-4.069035593728925,-4.069035593728966,-4.0690355937290645,-3.951184463531336,-4.06903559372906,-3.951184463531358,-4.069035593729031,-4.069035593728948,-4.0690355937289056,-4.0690355937288745,0.0,0.8152154071512179
0.08333333333333333,0.5,1.000000000000015,1.0260898942525448e-31,8,7.828427124746305,-1.1546319456101628e-13,-4.402368927062242,-4.402368927062358,-4.402368927062446,-4.284517796864758,-4.402368927062369,-4.28451779686472,-4.402368927062311,-4.402368927062337,-4.40236892706229,-4.402368927062246,0.0,0.9511965371996612
0.08333333333333333,0.5416666666666666,1.000000000000015,5.834432521964237e-32,8,7.828427124746311,-1.6076029396572267e-13,-4.735702260395572,-4.735702260395732,-4.735702260395797,-4.617851130198083,-4.735702260395726,-4.617851130198068,-4.735702260395681,-4.735702260395728,-4.735702260395646,-4.735702260395602,0.0,0.9921009734132804
0.08333333333333333,0.5833333333333333,1.000000000000016,5.286951768876255e-32,8,7.828427124746316,-1.3944401189291966e-13,-5.069035593728921,-5.06903559372906,-5.06903559372918,-4.9511844635314715,-5.069035593729155,-4.951184463531478,-5.0690355937290565,-5.069035593729045,-5.069035593728988,-5.069035593728922,0.0,0.9978484389810551
