Delta,J,M^2,Ms^2,N,O^2,delta_E,energy0,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,h,identity
0.0,0.0,0.142149514513139,0.14410471029887334,7,1.7669323591116508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14214205716940181
0.0,0.041666666666666664,1.0,0.020408163265306128,7,1.7841717784294662,-2.7755575615628914e-16,-0.2916666666666668,-0.2916666666666671,-0.29166666666666635,-0.2916666666666668,-0.29166666666666713,-0.2916666666666673,-0.2916666666666672,-0.2916666666666675,-0.2916666666666668,-0.2916666666666666,0.0,0.9997304632747867
0.0,0.08333333333333333,1.0,0.020408163265306128,7,1.8867404908015986,3.3306690738754696e-16,-0.5833333333333335,-0.5833333333333331,-0.5833333333333338,-0.5833333333333328,-0.2500000000000004,-0.5833333333333348,-0.5833333333333338,-0.5833333333333347,-0.5833333333333339,-0.5833333333333328,0.0,0.9937054663178786
0.0,0.125,0.9999999999999978,0.020408163265306083,7,1.5103739868114348,-8.881784197001252e-16,-0.8749999999999991,-0.875,-0.8750000000000014,-0.8750000000000007,-0.8750000000000028,-0.8750000000000014,-0.875000000000001,-0.8750000000000012,-0.8750000000000014,-0.8750000000000002,0.0,0.9968678489392044
0.0,0.16666666666666666,1.0000000000000007,0.02040816326530614,7,1.905831490252729,6.661338147750939e-16,-1.1666666666666674,-1.1666666666666667,-1.1666666666666665,-1.1666666666666663,-1.1666666666666665,-1.1666666666666698,-1.1666666666666683,-1.1666666666666676,-1.1666666666666665,-1.1666666666666676,0.0,0.9980636120664897
0.0,0.20833333333333331,1.0,0.020408163265306128,7,1.601060394789895,0.8333333333333339,-1.4583333333333341,-0.6250000000000002,-1.4583333333333335,-0.6250000000000011,-0.6250000000000008,-1.458333333333332,-1.458333333333334,-1.458333333333337,-1.4583333333333348,-1.458333333333334,0.0,0.9997002410394351
0.0,0.25,1.0,0.020408163265306128,7,1.7670164900566534,4.440892098500626e-16,-1.7500000000000009,-1.7500000000000004,-1.7500000000000007,-1.7499999999999996,-1.7500000000000027,-0.750000000000001,-1.750000000000002,-0.7500000000000013,-1.7500000000000029,-1.7500000000000004,0.0,0.9983025086844992
0.0,0.29166666666666663,1.0000000000000016,0.02040816326530616,7,1.8117445357123154,5.329070518200751e-15,-2.0416666666666687,-2.0416666666666634,-2.041666666666667,-2.0416666666666674,-2.0416666666666683,-0.875000000000001,-2.0416666666666696,-2.041666666666668,-2.0416666666666705,-2.0416666666666674,0.0,0.9849660094815433
0.0,0.3333333333333333,0.999999999999998,0.02040816326530609,7,1.7273769958872134,-3.9968028886505635e-15,-2.3333333333333313,-2.3333333333333353,-2.3333333333333375,-2.3333333333333366,-2.3333333333333366,-2.333333333333338,-2.333333333333331,-2.3333333333333353,-2.333333333333334,-2.333333333333334,0.0,0.9971304971436827
0.0,0.375,0.9999999999999973,0.020408163265306076,7,1.5895024023685653,-3.1086244689504383e-15,-2.6249999999999973,-2.6250000000000004,-2.6249999999999996,-1.1249999999999998,-1.1250000000000002,-1.1250000000000009,-2.6250000000000036,-2.6249999999999996,-2.625000000000003,-2.625000000000002,0.0,0.9964833980444492
